theta_1,theta_2,theta_3,theta_4
10,120,0,72
30,84,120,0
105,84,120,108
85,120,48,60
85,120,0,96
115,48,72,60
5,84,36,0
60,108,12,108
10,96,96,36
120,60,96,12
20,36,72,12
95,120,12,108
70,84,12,0
90,120,0,120
45,84,36,12
95,120,96,0
120,84,48,12
80,60,60,12
95,72,120,120
20,96,84,60
0,60,12,0
55,48,36,12
70,48,84,60
100,108,96,12
30,120,24,60
120,48,84,12
95,96,84,60
110,60,96,0
105,48,12,0
60,96,96,12
110,120,12,108
120,84,36,12
50,108,36,84
85,120,108,48
75,108,120,12
0,120,60,72
30,48,72,0
60,108,96,60
40,108,72,12
105,36,72,36
90,120,96,48
5,120,108,48
110,36,24,12
40,120,24,12
100,48,48,0
10,48,48,12
100,120,48,108
30,24,36,12
65,60,96,0
40,120,24,0
15,12,36,12
65,108,12,60
105,36,84,48
100,96,84,36
75,36,72,48
35,36,48,0
115,108,72,36
35,120,36,60
55,60,60,12
10,108,84,36
5,120,72,12
45,84,96,12
65,120,96,36
110,120,0,72
95,120,12,60
80,84,72,48
5,120,24,108
0,84,120,108
95,108,48,96
75,120,108,60
95,84,36,12
45,120,36,120
90,24,36,0
35,108,60,0
30,120,72,12
75,120,12,60
35,84,84,12
105,72,96,36
85,108,24,72
110,48,48,0
110,24,72,36
100,48,84,48
80,84,72,0
55,60,84,60
105,96,120,120
95,72,84,36
50,96,120,108
30,120,96,36
20,84,96,0
75,108,12,48
70,120,0,12
70,72,96,60
100,84,72,48
0,108,120,0
5,72,84,0
30,36,36,12
30,72,72,48
45,72,24,12
95,84,72,48
0,60,60,12
35,84,84,48
10,120,48,60
65,60,60,12
60,120,12,120
115,108,84,48
115,108,12,120
10,96,84,36
65,120,48,48
45,60,72,48
35,36,96,60
10,60,96,36
80,24,48,12
55,36,24,0
105,48,84,0
30,120,24,84
75,60,12,0
120,120,96,96
95,60,96,12
55,120,12,60
35,72,108,12
60,72,84,60
10,120,0,0
115,96,108,0
80,12,24,0
100,36,60,12
10,108,84,0
50,84,72,36
30,72,36,0
100,120,12,96
90,84,96,36
40,84,36,12
110,120,12,0
80,96,60,12
115,48,72,0
40,96,72,36
120,24,72,36
120,72,12,0
35,84,120,0
80,120,36,108
60,60,72,0
65,120,36,48
40,48,24,12
40,72,60,12
75,120,36,96
40,96,120,120
90,84,48,0
0,48,72,36
55,60,96,36
120,120,96,84
55,72,36,0
20,120,72,96
25,120,96,36
120,72,36,12
110,96,72,12
110,36,84,48
60,84,24,0
120,60,48,12
100,108,24,72
15,12,24,12
50,120,48,120
5,120,48,84
35,120,12,0
30,84,36,12
110,84,120,120
120,84,48,0
50,72,24,0
90,72,72,12
10,96,84,48
110,60,60,12
100,120,120,12
45,120,96,48
95,120,24,96
60,120,0,48
65,72,84,12
15,24,12,0
50,120,72,120
20,120,96,36
60,120,108,48
85,84,0,120
105,60,72,60
60,120,0,120
120,84,96,36
115,72,72,36
85,84,72,48
115,120,36,84
55,120,72,12
50,120,12,12
120,120,48,108
120,84,12,120
65,48,24,12
15,72,12,0
25,108,48,0
20,24,12,0
110,84,120,108
90,120,12,36
100,36,24,0
70,48,48,0
55,60,96,0
25,120,0,84
45,120,12,48
5,120,0,48
50,48,72,36
25,96,72,60
95,60,84,12
75,84,96,12
65,84,72,60
60,120,0,72
90,120,96,12
70,108,0,120
40,120,72,96
5,24,72,60
70,84,108,0
20,120,12,36
80,84,84,36
65,96,120,0
90,84,96,12
45,12,36,12
90,84,72,0
60,60,72,48
65,36,72,36
35,108,24,84
115,24,84,60
95,108,48,0
90,108,0,120
20,108,96,0
0,36,72,36
100,72,48,0
110,72,96,36
120,108,84,12
110,72,60,0
120,84,72,48
0,72,96,12
120,96,120,12
95,108,108,0
95,120,36,84
65,120,36,72
75,60,72,48
10,48,36,12
30,60,72,36
80,108,72,0
110,72,36,12
60,120,24,120
75,48,84,60
25,84,84,48
65,84,12,0
5,120,48,96
20,60,60,0
75,108,72,0
10,120,12,36
25,96,60,12
90,60,84,36
90,24,12,0
20,84,120,0
110,120,12,72
65,60,36,12
110,48,48,12
30,36,96,60
0,84,96,60
35,60,96,36
45,72,48,0
0,96,84,12
60,48,72,36
90,48,96,60
100,48,84,60
85,72,120,12
10,48,72,36
50,108,12,60
65,120,120,12
80,72,108,12
50,84,84,48
80,120,24,108
75,84,96,0
40,48,72,60
115,84,96,60
100,120,12,0
5,0,12,0
5,72,96,12
0,96,72,12
70,36,72,60
60,96,84,12
10,84,72,48
30,60,36,0
40,48,72,48
95,120,24,120
40,108,96,0
95,120,72,12
20,60,48,12
5,60,72,0
25,108,84,12
90,120,0,36
120,72,48,12
85,96,84,12
50,108,120,12
25,108,108,12
115,120,24,0
120,120,108,84
105,96,60,0
25,60,12,0
20,60,84,36
85,120,36,108
20,72,84,0
105,48,72,36
85,36,60,0
25,108,72,0
110,72,84,60
20,84,48,0
65,120,0,72
55,36,36,0
80,120,0,96
30,36,84,60
60,12,60,48
120,120,36,84
40,120,96,48
110,120,48,108
50,36,36,12
45,84,24,0
55,48,84,12
85,96,96,36
50,60,60,12
0,108,48,96
60,108,36,72
25,36,72,36
60,108,24,72
90,120,48,72
55,108,96,0
60,108,84,36
15,36,12,0
120,72,0,120
0,120,12,108
90,96,24,84
90,72,84,0
95,84,120,0
40,24,72,48
90,24,72,36
90,48,12,0
105,120,36,96
50,72,48,0
50,48,72,48
100,24,72,36
15,72,36,0
80,36,48,0
60,108,36,96
45,120,96,36
5,72,48,0
95,120,60,96
85,120,36,120
115,84,120,108
70,72,36,0
105,48,36,12
85,72,36,0
115,120,36,96
40,84,24,0
50,36,72,36
40,96,0,120
120,36,36,12
70,60,72,12
50,12,24,0
75,60,84,60
10,120,48,84
45,72,72,48
70,24,48,0
70,120,60,96
90,120,0,48
40,36,84,36
115,48,36,12
45,120,36,96
80,96,120,0
50,60,96,0
90,108,36,96
40,72,84,12
110,72,72,0
5,108,72,36
90,84,96,0
40,120,96,36
20,96,60,0
90,48,96,36
55,96,84,12
85,72,24,0
15,60,24,12
40,120,12,0
75,84,72,60
80,120,0,120
40,60,96,36
0,120,48,120
55,108,96,12
40,108,120,0
105,120,120,72
35,60,108,12
85,72,120,0
30,60,108,12
120,24,48,0
55,120,24,96
75,36,84,36
70,96,84,12
90,120,0,84
110,120,96,12
85,72,72,60
5,120,12,72
20,120,96,48
0,60,84,0
50,108,12,96
0,24,72,36
0,72,120,12
50,84,72,48
75,120,108,48
110,96,12,120
80,60,84,12
90,48,84,36
15,84,96,60
45,60,60,12
50,24,36,12
0,120,60,96
65,108,60,12
15,24,24,0
110,36,72,48
105,60,72,48
65,84,24,0
65,120,12,0
120,48,72,12
70,84,72,12
80,48,108,36
65,120,24,108
120,108,96,12
90,120,48,84
80,60,36,0
5,120,60,120
115,84,72,12
5,96,24,84
30,72,72,60
115,72,36,12
45,120,24,84
105,12,36,12
85,48,72,60
40,120,36,72
90,96,84,60
75,24,72,36
110,108,84,60
55,120,24,60
75,84,36,12
85,120,120,72
100,96,96,12
115,36,72,12
75,120,24,12
50,96,48,0
5,120,12,96
5,96,72,36
40,120,108,48
85,96,60,0
85,108,36,96
25,96,84,48
75,108,24,84
25,24,36,12
65,108,84,60
110,84,24,12
15,120,0,96
40,120,36,120
100,60,24,0
5,120,108,12
95,120,36,72
110,72,48,12
30,120,12,84
80,96,60,0
30,72,72,0
80,84,120,12
40,72,72,0
70,72,84,60
85,108,24,84
70,120,0,60
5,108,120,0
85,84,84,36
45,72,72,36
10,120,72,12
55,108,84,60
10,120,36,60
115,60,84,60
55,60,72,12
0,120,0,24
115,24,96,72
30,96,120,12
45,48,84,0
25,72,48,0
20,96,108,12
60,120,36,48
30,24,84,60
45,12,24,0
15,120,24,96
15,120,36,96
105,36,84,60
100,84,0,120
35,72,120,0
25,96,24,84
45,72,96,60
115,84,84,36
110,120,84,12
20,24,36,0
5,96,36,0
85,108,12,84
110,60,36,12
75,120,96,36
0,120,0,48
40,120,0,84
85,108,84,60
15,120,0,108
45,96,84,48
5,120,72,120
120,72,72,12
100,84,48,12
20,72,48,12
80,24,36,0
100,108,48,96
50,72,84,48
50,120,96,0
70,120,36,84
15,120,36,60
120,108,60,108
95,72,48,12
60,120,48,72
30,108,96,0
60,84,84,0
85,36,24,0
50,60,84,60
110,24,24,0
50,72,120,12
85,72,12,0
120,36,48,12
100,120,12,48
15,84,108,0
10,120,120,12
115,120,72,12
65,48,60,12
70,120,24,120
25,72,96,60
100,48,60,12
35,72,60,12
50,24,48,0
30,108,48,0
10,60,60,12
90,60,84,12
20,96,12,120
105,72,96,60
55,36,60,0
80,120,12,108
105,120,0,12
110,108,96,60
45,120,48,48
5,72,24,12
40,48,24,0
90,108,12,72
0,36,24,0
40,108,60,12
20,120,12,60
5,72,72,0
5,108,48,96
20,120,24,84
5,108,24,84
110,24,96,72
65,120,24,0
55,72,72,36
110,96,120,120
100,120,24,48
15,120,48,108
0,36,36,12
80,60,96,0
50,108,120,0
10,108,48,96
25,96,108,0
5,24,72,48
75,96,84,0
15,96,48,0
85,120,0,108
10,60,72,0
70,36,72,36
90,108,96,12
100,96,84,48
15,120,12,12
115,48,24,0
55,108,48,0
20,120,72,108
35,0,12,0
