theta_1,theta_2,theta_3,theta_4
65,12,24,12
120,24,72,36
75,72,120,0
90,60,72,36
70,36,36,0
100,48,84,60
105,108,108,12
75,36,72,12
105,36,36,0
95,60,84,48
110,48,48,12
95,72,96,60
70,60,84,0
85,72,84,12
95,60,84,60
65,36,84,60
100,60,96,0
65,96,120,0
110,60,84,12
70,48,108,36
75,48,108,36
80,72,120,0
85,60,72,36
110,72,60,0
75,96,96,0
95,96,120,12
110,60,96,36
85,24,72,48
75,24,48,12
85,48,84,48
120,60,60,0
115,48,96,60
85,24,72,60
115,84,84,12
105,72,84,60
65,60,96,12
115,48,108,36
110,72,84,48
85,60,72,48
90,48,48,0
95,48,84,0
70,60,72,36
120,108,96,0
70,48,36,0
80,36,24,12
100,36,72,36
105,36,24,0
75,60,108,12
100,72,96,12
90,84,108,12
85,12,24,12
85,48,96,60
105,12,60,48
115,84,96,0
100,84,96,36
95,84,108,0
120,12,60,48
75,120,120,12
110,72,60,12
105,72,84,0
100,48,96,36
95,84,120,0
90,96,96,12
70,84,96,36
120,72,96,0
70,36,48,0
120,24,36,12
65,24,72,36
95,24,72,36
75,72,108,12
85,84,84,12
110,72,84,60
95,60,72,60
85,60,96,0
115,48,96,36
90,24,96,72
120,72,84,48
100,60,72,36
85,48,72,48
120,48,84,36
85,84,108,12
85,60,84,48
110,108,120,12
115,36,96,60
90,48,96,36
70,48,72,48
105,48,84,12
90,72,120,12
80,108,108,12
95,48,36,0
110,96,96,12
120,48,96,36
120,36,36,0
110,84,108,0
115,48,36,12
75,24,24,0
115,108,120,0
75,72,108,0
65,84,96,0
115,60,84,12
85,36,24,0
95,72,60,12
80,72,60,0
65,0,12,0
70,36,96,60
85,60,48,12
100,36,84,48
85,36,36,0
70,48,72,36
120,36,72,36
120,60,72,60
80,24,24,12
90,48,84,36
80,12,36,12
90,36,72,12
115,84,72,12
85,12,12,0
95,36,72,48
65,36,84,48
70,24,12,0
120,48,48,12
85,12,36,12
110,48,84,48
115,48,84,60
95,36,24,0
110,72,72,0
90,72,120,0
80,36,84,36
75,72,96,60
65,72,108,0
105,84,84,12
95,60,108,12
100,96,96,0
85,72,96,60
110,24,48,0
100,24,72,36
120,96,96,0
115,72,72,36
80,12,12,0
85,72,72,12
80,24,36,12
120,36,24,0
75,72,96,0
90,72,72,0
115,36,84,48
120,36,12,0
110,24,24,0
65,48,60,12
65,24,24,0
90,48,24,0
95,72,96,12
90,24,72,48
95,36,60,12
110,60,96,0
100,48,84,36
90,24,48,0
75,84,108,12
85,60,84,60
95,36,72,60
105,72,96,12
75,24,72,48
70,0,12,0
115,84,108,12
85,72,120,0
100,48,72,12
95,48,24,0
95,24,36,12
110,48,24,0
95,24,48,12
120,72,120,120
110,60,72,0
65,108,120,0
70,60,96,36
90,72,108,0
100,24,48,12
85,108,120,0
